elbo_loss_epoch,train_loss,train_elbo_loss,epoch,step,elbo_loss_step
0.40585339069366455,0.40536734461784363,0.40536734461784363,0,38,
,,,1,49,0.30242884159088135
0.2417006939649582,0.24165759980678558,0.24165759980678558,1,77,
,,,2,99,0.20811399817466736
0.20693150162696838,0.20678626000881195,0.20678626000881195,2,116,
,,,3,149,0.15766075253486633
0.1883256882429123,0.18849268555641174,0.18849268555641174,3,155,
0.1826024204492569,0.18260373175144196,0.18260373175144196,4,194,
,,,5,199,0.20814365148544312
0.17051106691360474,0.17061075568199158,0.17061075568199158,5,233,
,,,6,249,0.1444941908121109
0.16355927288532257,0.1635001003742218,0.1635001003742218,6,272,
,,,7,299,0.15880483388900757
0.16612845659255981,0.16622725129127502,0.16622725129127502,7,311,
,,,8,349,0.13947637379169464
0.16422785818576813,0.16423174738883972,0.16423174738883972,8,350,
0.15208733081817627,0.15222708880901337,0.15222708880901337,9,389,
,,,10,399,0.1344131976366043
0.15150000154972076,0.15156738460063934,0.15156738460063934,10,428,
,,,11,449,0.1688256710767746
0.149143248796463,0.14908084273338318,0.14908084273338318,11,467,
,,,12,499,0.17552737891674042
0.14884164929389954,0.1488679200410843,0.1488679200410843,12,506,
0.15836644172668457,0.1584082990884781,0.1584082990884781,13,545,
,,,14,549,0.15504606068134308
0.15841376781463623,0.1584397852420807,0.1584397852420807,14,584,
,,,15,599,0.15616624057292938
0.1459052711725235,0.1459624469280243,0.1459624469280243,15,623,
,,,16,649,0.11839216202497482
0.14807428419589996,0.1482163667678833,0.1482163667678833,16,662,
,,,17,699,0.18318335711956024
0.15050312876701355,0.150501549243927,0.150501549243927,17,701,
0.13904626667499542,0.1390661895275116,0.1390661895275116,18,740,
,,,19,749,0.15006716549396515
0.1425687074661255,0.14248286187648773,0.14248286187648773,19,779,
,,,20,799,0.13963545858860016
0.14296114444732666,0.14288246631622314,0.14288246631622314,20,818,
,,,21,849,0.1736578345298767
0.14212435483932495,0.14215660095214844,0.14215660095214844,21,857,
0.14128468930721283,0.14133431017398834,0.14133431017398834,22,896,
,,,23,899,0.13743731379508972
0.13896456360816956,0.1389719694852829,0.1389719694852829,23,935,
,,,24,949,0.18577875196933746
0.14803491532802582,0.14803743362426758,0.14803743362426758,24,974,
,,,25,999,0.1363344043493271
0.13510479032993317,0.13508038222789764,0.13508038222789764,25,1013,
,,,26,1049,0.12157588452100754
0.13686756789684296,0.13678695261478424,0.13678695261478424,26,1052,
0.14172986149787903,0.14174938201904297,0.14174938201904297,27,1091,
,,,28,1099,0.14967140555381775
0.14132384955883026,0.14133349061012268,0.14133349061012268,28,1130,
,,,29,1149,0.13652390241622925
0.14054125547409058,0.140548974275589,0.140548974275589,29,1169,
,,,30,1199,0.14925554394721985
0.1321665495634079,0.13221673667430878,0.13221673667430878,30,1208,
0.13774627447128296,0.13773520290851593,0.13773520290851593,31,1247,
,,,32,1249,0.14945870637893677
0.13255101442337036,0.13253232836723328,0.13253232836723328,32,1286,
,,,33,1299,0.1395232081413269
0.14141544699668884,0.1414426863193512,0.1414426863193512,33,1325,
,,,34,1349,0.13254515826702118
0.1327846497297287,0.13274157047271729,0.13274157047271729,34,1364,
,,,35,1399,0.12410861253738403
0.1390615701675415,0.13908331096172333,0.13908331096172333,35,1403,
0.13900738954544067,0.139106884598732,0.139106884598732,36,1442,
,,,37,1449,0.11372285336256027
0.13614347577095032,0.13612723350524902,0.13612723350524902,37,1481,
,,,38,1499,0.18330442905426025
0.13825026154518127,0.13818682730197906,0.13818682730197906,38,1520,
,,,39,1549,0.15383127331733704
0.14051784574985504,0.14058279991149902,0.14058279991149902,39,1559,
0.13631610572338104,0.13627758622169495,0.13627758622169495,40,1598,
,,,41,1599,0.1343611776828766
0.13619405031204224,0.13622097671031952,0.13622097671031952,41,1637,
,,,42,1649,0.12311980873346329
0.13618728518486023,0.13628488779067993,0.13628488779067993,42,1676,
,,,43,1699,0.13429711759090424
0.13738200068473816,0.1373915672302246,0.1373915672302246,43,1715,
,,,44,1749,0.12337618321180344
0.1381286084651947,0.1380787342786789,0.1380787342786789,44,1754,
0.13261215388774872,0.13259248435497284,0.13259248435497284,45,1793,
,,,46,1799,0.14558522403240204
0.13951274752616882,0.13949806988239288,0.13949806988239288,46,1832,
,,,47,1849,0.13488468527793884
0.13345202803611755,0.13340796530246735,0.13340796530246735,47,1871,
,,,48,1899,0.14052674174308777
0.13574065268039703,0.1357363909482956,0.1357363909482956,48,1910,
,,,49,1949,0.1301266998052597
0.1402893364429474,0.14026081562042236,0.14026081562042236,49,1949,
0.13693514466285706,0.13698598742485046,0.13698598742485046,50,1988,
,,,51,1999,0.13715581595897675
0.14130689203739166,0.14122651517391205,0.14122651517391205,51,2027,
,,,52,2049,0.16282552480697632
0.13839876651763916,0.13844311237335205,0.13844311237335205,52,2066,
,,,53,2099,0.12760697305202484
0.1406770497560501,0.1406174600124359,0.1406174600124359,53,2105,
0.13574540615081787,0.13571074604988098,0.13571074604988098,54,2144,
,,,55,2149,0.12635664641857147
0.13255546987056732,0.13259384036064148,0.13259384036064148,55,2183,
,,,56,2199,0.11840596795082092
0.13703005015850067,0.13702291250228882,0.13702291250228882,56,2222,
,,,57,2249,0.13987942039966583
0.13580161333084106,0.13588137924671173,0.13588137924671173,57,2261,
,,,58,2299,0.1333542764186859
0.1361655294895172,0.13619188964366913,0.13619188964366913,58,2300,
0.13880200684070587,0.13876286149024963,0.13876286149024963,59,2339,
,,,60,2349,0.13395339250564575
0.13230039179325104,0.1322719156742096,0.1322719156742096,60,2378,
,,,61,2399,0.14276951551437378
0.1363852471113205,0.13641254603862762,0.13641254603862762,61,2417,
,,,62,2449,0.12373248487710953
0.1322779804468155,0.1323743760585785,0.1323743760585785,62,2456,
0.12819507718086243,0.12820197641849518,0.12820197641849518,63,2495,
,,,64,2499,0.14387179911136627
0.14476482570171356,0.14492379128932953,0.14492379128932953,64,2534,
,,,65,2549,0.11669391393661499
0.13297012448310852,0.13303276896476746,0.13303276896476746,65,2573,
,,,66,2599,0.1646731048822403
0.12981335818767548,0.12976138293743134,0.12976138293743134,66,2612,
,,,67,2649,0.12085479497909546
0.14208076894283295,0.14199939370155334,0.14199939370155334,67,2651,
0.13115882873535156,0.1311182826757431,0.1311182826757431,68,2690,
,,,69,2699,0.15313556790351868
0.1296006739139557,0.1296076774597168,0.1296076774597168,69,2729,
,,,70,2749,0.13945555686950684
0.12789186835289001,0.12787148356437683,0.12787148356437683,70,2768,
,,,71,2799,0.13035641610622406
0.13772708177566528,0.1376802772283554,0.1376802772283554,71,2807,
0.13794802129268646,0.13794705271720886,0.13794705271720886,72,2846,
,,,73,2849,0.17378610372543335
0.13357172906398773,0.13365532457828522,0.13365532457828522,73,2885,
,,,74,2899,0.10829772055149078
0.1358359307050705,0.13571015000343323,0.13571015000343323,74,2924,
,,,75,2949,0.1743530035018921
0.13583897054195404,0.1358194202184677,0.1358194202184677,75,2963,
,,,76,2999,0.14042726159095764
0.14047640562057495,0.14046482741832733,0.14046482741832733,76,3002,
0.13288694620132446,0.132842555642128,0.132842555642128,77,3041,
,,,78,3049,0.10926993191242218
0.13455186784267426,0.13460686802864075,0.13460686802864075,78,3080,
,,,79,3099,0.13666029274463654
0.1380036622285843,0.1380302906036377,0.1380302906036377,79,3119,
,,,80,3149,0.14003780484199524
0.13641001284122467,0.13643524050712585,0.13643524050712585,80,3158,
0.13699999451637268,0.13705672323703766,0.13705672323703766,81,3197,
,,,82,3199,0.12965601682662964
0.1285707950592041,0.12849634885787964,0.12849634885787964,82,3236,
,,,83,3249,0.14519988000392914
0.13779158890247345,0.13775114715099335,0.13775114715099335,83,3275,
,,,84,3299,0.12726445496082306
0.1307835727930069,0.13080553710460663,0.13080553710460663,84,3314,
,,,85,3349,0.10820040106773376
0.13048049807548523,0.1305336356163025,0.1305336356163025,85,3353,
0.12934529781341553,0.12931998074054718,0.12931998074054718,86,3392,
,,,87,3399,0.09992053359746933
0.12632328271865845,0.12629269063472748,0.12629269063472748,87,3431,
,,,88,3449,0.12518654763698578
0.12973639369010925,0.1297503560781479,0.1297503560781479,88,3470,
,,,89,3499,0.14585021138191223
0.1352589875459671,0.13525903224945068,0.13525903224945068,89,3509,
0.1299378126859665,0.12992112338542938,0.12992112338542938,90,3548,
,,,91,3549,0.15571245551109314
0.1305907666683197,0.13057859241962433,0.13057859241962433,91,3587,
,,,92,3599,0.12096947431564331
0.1358676552772522,0.135874405503273,0.135874405503273,92,3626,
,,,93,3649,0.12069433182477951
0.1324802041053772,0.1324957311153412,0.1324957311153412,93,3665,
,,,94,3699,0.13241998851299286
0.13429997861385345,0.134272962808609,0.134272962808609,94,3704,
0.1338406503200531,0.133736714720726,0.133736714720726,95,3743,
,,,96,3749,0.14815916121006012
0.13487228751182556,0.13481508195400238,0.13481508195400238,96,3782,
,,,97,3799,0.11425859481096268
0.12942369282245636,0.1294153928756714,0.1294153928756714,97,3821,
,,,98,3849,0.1233045756816864
0.13151738047599792,0.13148581981658936,0.13148581981658936,98,3860,
,,,99,3899,0.10743211209774017
0.12753604352474213,0.1274796575307846,0.1274796575307846,99,3899,
0.1303826868534088,0.130457803606987,0.130457803606987,100,3938,
,,,101,3949,0.1120799109339714
0.13535314798355103,0.13529126346111298,0.13529126346111298,101,3977,
,,,102,3999,0.14786463975906372
0.13175563514232635,0.13173124194145203,0.13173124194145203,102,4016,
