elbo_loss_epoch,train_loss,train_elbo_loss,epoch,step,elbo_loss_step
1026.7401123046875,1025.009033203125,1025.009033203125,0,38,
,,,1,49,369.6076354980469
261.46734619140625,261.2006530761719,261.2006530761719,1,77,
,,,2,99,156.29246520996094
139.062744140625,139.04132080078125,139.04132080078125,2,116,
,,,3,149,35.22834396362305
64.534423828125,64.43476867675781,64.43476867675781,3,155,
11.454380989074707,11.435714721679688,11.435714721679688,4,194,
,,,5,199,4.186304092407227
5.248295783996582,5.243980407714844,5.243980407714844,5,233,
,,,6,249,5.1397705078125
4.106929779052734,4.105527877807617,4.105527877807617,6,272,
,,,7,299,3.8037593364715576
3.7325243949890137,3.728909969329834,3.728909969329834,7,311,
,,,8,349,3.402904987335205
3.216390609741211,3.213513135910034,3.213513135910034,8,350,
3.2452759742736816,3.2441329956054688,3.2441329956054688,9,389,
,,,10,399,3.958092451095581
2.894739866256714,2.8940021991729736,2.8940021991729736,10,428,
,,,11,449,3.618426561355591
2.593886613845825,2.594444990158081,2.594444990158081,11,467,
,,,12,499,1.8312898874282837
2.611379384994507,2.609891176223755,2.609891176223755,12,506,
2.487293243408203,2.4868438243865967,2.4868438243865967,13,545,
,,,14,549,2.096825122833252
2.202143430709839,2.201596736907959,2.201596736907959,14,584,
,,,15,599,2.0521342754364014
2.2316083908081055,2.230196237564087,2.230196237564087,15,623,
,,,16,649,2.0752508640289307
2.1164562702178955,2.117375373840332,2.117375373840332,16,662,
,,,17,699,2.054943561553955
2.2508902549743652,2.2515008449554443,2.2515008449554443,17,701,
2.0938620567321777,2.0932722091674805,2.0932722091674805,18,740,
,,,19,749,2.282771348953247
1.9872572422027588,1.9869345426559448,1.9869345426559448,19,779,
,,,20,799,2.0705673694610596
1.9962304830551147,1.996814250946045,1.996814250946045,20,818,
,,,21,849,1.6141910552978516
1.819883108139038,1.819848656654358,1.819848656654358,21,857,
1.9751904010772705,1.9751158952713013,1.9751158952713013,22,896,
,,,23,899,1.7227243185043335
1.8088046312332153,1.808504581451416,1.808504581451416,23,935,
,,,24,949,2.0627381801605225
