elbo_loss_epoch,train_loss,train_elbo_loss,epoch,step,elbo_loss_step
971.9528198242188,970.1146240234375,970.1146240234375,0,38,
,,,1,49,219.4664764404297
197.52882385253906,197.44662475585938,197.44662475585938,1,77,
,,,2,99,135.83062744140625
106.9551773071289,106.86846923828125,106.86846923828125,2,116,
,,,3,149,26.900827407836914
32.93357467651367,32.87152099609375,32.87152099609375,3,155,
8.344350814819336,8.338027000427246,8.338027000427246,4,194,
,,,5,199,3.985379457473755
5.134854316711426,5.129855155944824,5.129855155944824,5,233,
,,,6,249,2.7865798473358154
4.481375694274902,4.476815700531006,4.476815700531006,6,272,
,,,7,299,4.990213394165039
4.218269348144531,4.219115257263184,4.219115257263184,7,311,
,,,8,349,2.846120834350586
4.24045467376709,4.240955829620361,4.240955829620361,8,350,
3.606905460357666,3.6069846153259277,3.6069846153259277,9,389,
,,,10,399,2.3292574882507324
3.1451363563537598,3.1426844596862793,3.1426844596862793,10,428,
,,,11,449,2.724575996398926
3.173797130584717,3.1767451763153076,3.1767451763153076,11,467,
,,,12,499,3.2373244762420654
2.907846689224243,2.9113361835479736,2.9113361835479736,12,506,
2.910756826400757,2.910459280014038,2.910459280014038,13,545,
,,,14,549,2.9789204597473145
2.5670604705810547,2.5660083293914795,2.5660083293914795,14,584,
,,,15,599,2.340690851211548
2.4211370944976807,2.420118808746338,2.420118808746338,15,623,
,,,16,649,1.934304118156433
2.464460611343384,2.4644434452056885,2.4644434452056885,16,662,
,,,17,699,3.1770644187927246
2.5516533851623535,2.550678014755249,2.550678014755249,17,701,
2.440460205078125,2.4416401386260986,2.4416401386260986,18,740,
,,,19,749,1.9977424144744873
2.3152058124542236,2.3158762454986572,2.3158762454986572,19,779,
,,,20,799,2.03963041305542
2.4624669551849365,2.462024688720703,2.462024688720703,20,818,
,,,21,849,2.0440893173217773
2.172114849090576,2.176443099975586,2.176443099975586,21,857,
2.360731363296509,2.359510660171509,2.359510660171509,22,896,
,,,23,899,1.922330617904663
2.239454746246338,2.2398438453674316,2.2398438453674316,23,935,
,,,24,949,2.513232469558716
2.2904722690582275,2.289668321609497,2.289668321609497,24,974,
,,,25,999,1.966746211051941
2.097005605697632,2.096723794937134,2.096723794937134,25,1013,
,,,26,1049,2.047516107559204
2.0028769969940186,2.0030746459960938,2.0030746459960938,26,1052,
2.0352821350097656,2.0354766845703125,2.0354766845703125,27,1091,
,,,28,1099,1.8544186353683472
2.1302220821380615,2.129869222640991,2.129869222640991,28,1130,
,,,29,1149,1.857068657875061
1.9472841024398804,1.9478765726089478,1.9478765726089478,29,1169,
,,,30,1199,1.8418887853622437
2.019155502319336,2.018324136734009,2.018324136734009,30,1208,
1.7971292734146118,1.7993849515914917,1.7993849515914917,31,1247,
,,,32,1249,2.057962417602539
1.964187741279602,1.9637831449508667,1.9637831449508667,32,1286,
,,,33,1299,1.6635758876800537
1.938241720199585,1.9379314184188843,1.9379314184188843,33,1325,
,,,34,1349,1.7503355741500854
1.8081389665603638,1.8073171377182007,1.8073171377182007,34,1364,
,,,35,1399,1.7484540939331055
1.7625725269317627,1.7634466886520386,1.7634466886520386,35,1403,
1.8133456707000732,1.8128241300582886,1.8128241300582886,36,1442,
,,,37,1449,1.929569959640503
1.7773886919021606,1.7774335145950317,1.7774335145950317,37,1481,
,,,38,1499,1.717804193496704
1.6823837757110596,1.6828175783157349,1.6828175783157349,38,1520,
,,,39,1549,1.5932459831237793
1.7362083196640015,1.7355159521102905,1.7355159521102905,39,1559,
1.692206621170044,1.6917940378189087,1.6917940378189087,40,1598,
,,,41,1599,1.5520007610321045
1.630081295967102,1.63019859790802,1.63019859790802,41,1637,
,,,42,1649,1.6846590042114258
1.6504859924316406,1.6499571800231934,1.6499571800231934,42,1676,
,,,43,1699,1.7444137334823608
1.5992670059204102,1.5992097854614258,1.5992097854614258,43,1715,
,,,44,1749,1.519415259361267
1.6727901697158813,1.6724923849105835,1.6724923849105835,44,1754,
1.7163010835647583,1.7157683372497559,1.7157683372497559,45,1793,
,,,46,1799,1.5210700035095215
1.567741870880127,1.567605972290039,1.567605972290039,46,1832,
,,,47,1849,1.9053659439086914
1.6501214504241943,1.651739239692688,1.651739239692688,47,1871,
,,,48,1899,1.496527910232544
1.5014688968658447,1.5011694431304932,1.5011694431304932,48,1910,
,,,49,1949,1.393569827079773
1.5460336208343506,1.545606017112732,1.545606017112732,49,1949,
1.5075377225875854,1.507993221282959,1.507993221282959,50,1988,
,,,51,1999,1.8363418579101562
1.6484512090682983,1.6484917402267456,1.6484917402267456,51,2027,
,,,52,2049,1.4015709161758423
1.5694087743759155,1.570797085762024,1.570797085762024,52,2066,
,,,53,2099,2.258028745651245
1.557787299156189,1.5576053857803345,1.5576053857803345,53,2105,
1.4520156383514404,1.4520766735076904,1.4520766735076904,54,2144,
,,,55,2149,1.4423904418945312
1.5394072532653809,1.538665533065796,1.538665533065796,55,2183,
,,,56,2199,1.3710744380950928
1.477863073348999,1.4783798456192017,1.4783798456192017,56,2222,
,,,57,2249,1.5215463638305664
1.5833046436309814,1.5837734937667847,1.5837734937667847,57,2261,
,,,58,2299,1.417022466659546
1.4838123321533203,1.4842859506607056,1.4842859506607056,58,2300,
1.4108738899230957,1.4110517501831055,1.4110517501831055,59,2339,
,,,60,2349,1.5979599952697754
1.4054425954818726,1.4053773880004883,1.4053773880004883,60,2378,
,,,61,2399,1.6040794849395752
1.5189393758773804,1.5185332298278809,1.5185332298278809,61,2417,
,,,62,2449,1.3861727714538574
1.3330377340316772,1.3330060243606567,1.3330060243606567,62,2456,
1.353352427482605,1.3531097173690796,1.3531097173690796,63,2495,
,,,64,2499,1.350255012512207
1.3768619298934937,1.3775482177734375,1.3775482177734375,64,2534,
,,,65,2549,1.2935277223587036
1.3179872035980225,1.3177692890167236,1.3177692890167236,65,2573,
,,,66,2599,1.3032530546188354
1.366256833076477,1.3659213781356812,1.3659213781356812,66,2612,
,,,67,2649,1.5935782194137573
1.331678867340088,1.3320419788360596,1.3320419788360596,67,2651,
1.3060086965560913,1.3055918216705322,1.3055918216705322,68,2690,
,,,69,2699,1.1926835775375366
1.267423391342163,1.2673099040985107,1.2673099040985107,69,2729,
,,,70,2749,1.38335120677948
1.3633639812469482,1.3630925416946411,1.3630925416946411,70,2768,
,,,71,2799,1.3964574337005615
1.3038551807403564,1.303717017173767,1.303717017173767,71,2807,
1.297600507736206,1.2982722520828247,1.2982722520828247,72,2846,
,,,73,2849,1.2819230556488037
1.2989436388015747,1.2990854978561401,1.2990854978561401,73,2885,
,,,74,2899,1.1910897493362427
1.2986241579055786,1.2982629537582397,1.2982629537582397,74,2924,
,,,75,2949,1.1449949741363525
1.2795897722244263,1.279579997062683,1.279579997062683,75,2963,
,,,76,2999,1.249287724494934
1.269100308418274,1.2688636779785156,1.2688636779785156,76,3002,
1.3076828718185425,1.3073246479034424,1.3073246479034424,77,3041,
,,,78,3049,1.2192306518554688
1.2447609901428223,1.2448630332946777,1.2448630332946777,78,3080,
,,,79,3099,1.2180956602096558
1.238085389137268,1.2378191947937012,1.2378191947937012,79,3119,
,,,80,3149,1.1754062175750732
1.263848066329956,1.2635592222213745,1.2635592222213745,80,3158,
1.2680590152740479,1.2676740884780884,1.2676740884780884,81,3197,
,,,82,3199,1.3478789329528809
1.2782421112060547,1.2776509523391724,1.2776509523391724,82,3236,
,,,83,3249,1.1380760669708252
1.357619285583496,1.3580946922302246,1.3580946922302246,83,3275,
,,,84,3299,1.1185264587402344
1.2503621578216553,1.2498148679733276,1.2498148679733276,84,3314,
,,,85,3349,1.2070696353912354
1.178439974784851,1.1784383058547974,1.1784383058547974,85,3353,
1.246812105178833,1.2467758655548096,1.2467758655548096,86,3392,
,,,87,3399,1.0636224746704102
1.216695785522461,1.2167422771453857,1.2167422771453857,87,3431,
,,,88,3449,0.9907331466674805
1.2226439714431763,1.2224375009536743,1.2224375009536743,88,3470,
,,,89,3499,1.3080850839614868
1.1687910556793213,1.1688143014907837,1.1688143014907837,89,3509,
1.1965868473052979,1.1963608264923096,1.1963608264923096,90,3548,
,,,91,3549,1.1111890077590942
1.313084602355957,1.3122477531433105,1.3122477531433105,91,3587,
,,,92,3599,1.0945658683776855
1.217879056930542,1.217655897140503,1.217655897140503,92,3626,
,,,93,3649,1.1879545450210571
1.1491823196411133,1.1489605903625488,1.1489605903625488,93,3665,
,,,94,3699,1.1939799785614014
1.2346224784851074,1.2342686653137207,1.2342686653137207,94,3704,
1.2863078117370605,1.2868071794509888,1.2868071794509888,95,3743,
,,,96,3749,1.173093318939209
